Commitments ,Main Category ,Additional Category [1],Additional Category [2],Additional Category [3],Additional Category [4],Policy , Source Heading ,Time Specified ,Political Party 
एक गाउँ एक कृषि नमूना उत्पादनमा जोड दिइने छ । गाउँपालिकाहरुले कृषि उत्पादनलाई गुणात्मक रूपमा विकास गर्नका लागि सुपरजोनको मान्यताअनुसार आ–आफ्नो भौगोलिक विशेषताअनुरुप उत्पादनको विशिष्टीकरण र नमूनामूलक ढङ्गले कृषि उत्पादनलाई केन्द्रित गरिने छ ।,Agriculture ,N/A ,N/A ,N/A ,N/A ,No ,कृषि नै ग्रामीण विकासको मूल आधारः,No ,CPNM 
"कृषि उत्पादनलाई व्यवसायीकरण, आधुनिकीकरण र औद्योगिकीकरणमा जोड दिइने छ ।",Agriculture ,Agriculture commercialization ,Agriculture modernization,Agriculture industrialization,N/A ,No ,कृषि नै ग्रामीण विकासको मूल आधारः,No ,CPNM 
सबै उर्वरायोग्य भूमिमा सिंचाईको व्यवस्था गर्नका लागि अभियानकै रुपमा सिंचाई कार्यक्रम संचालन गरिने छ ।,Agriculture ,N/A ,N/A ,N/A ,N/A ,No ,कृषि नै ग्रामीण विकासको मूल आधारः,No ,CPNM 
"कृषिको लागि आवश्यक पर्ने मल, विऊ, कीटनाशक औषधिलगायतका औजारहरु सर्वसुलभ बनाइने छ ।",Agriculture ,Agriculture tools,N/A ,N/A ,N/A ,No ,कृषि नै ग्रामीण विकासको मूल आधारः,No ,CPNM 
कृषि उत्पादनमा प्राङ्गारिक मलको प्रयोग गरी अर्गानिक उत्पादनमा जोड दिइने छ । ,Agriculture ,Organic fertilizer,N/A ,N/A ,N/A ,No ,कृषि नै ग्रामीण विकासको मूल आधारः,No ,CPNM 
कृषि बजारको व्यवस्थालाई व्यवस्थित गरी प्रत्येक गाउँमा कृषि उपजहरुको बजारको व्यवस्था गरिने छ ।,Agriculture ,Agricultural market system,N/A ,N/A ,N/A ,No ,कृषि नै ग्रामीण विकासको मूल आधारः,No ,CPNM 
कृषि उपजको भण्डारण र शितभण्डारणको व्यवस्था गरिने छ ।,Agriculture ,Agricultural product storage,Cold storage,N/A ,N/A ,No ,कृषि नै ग्रामीण विकासको मूल आधारः,No ,CPNM 
कृषि उत्पादनमा सहकारी प्रणालीलाई प्रोत्साहित गरिनेछ ।,Agriculture ,Agricultural Production Cooperative System,N/A ,N/A ,N/A ,No ,कृषि नै ग्रामीण विकासको मूल आधारः,No ,CPNM 
"किसान र उपभोक्ताबीचको विचौलियाहरुको तहगत संरचनालाई न्यूनीकरण गर्दै किसान र उपभोक्ताबीच प्रत्यक्ष सम्बन्ध र लाभको लागि बहुउद्देश्यीय सहकारी प्रणाली मार्फत् कृषि उत्पादन, उत्पादित वस्तुहरुको भण्डारण, ढुवानी र कृषि बजारको व्यवस्था गरिने छ ।",Agriculture ,Agricultural market system,Multipurpose Cooperative System,N/A ,N/A ,No ,कृषि नै ग्रामीण विकासको मूल आधारः,No ,CPNM 
साना तथा गरीविका रेखामुनि रहेका किसानहरुको लागि सहुलियत व्याज दरमा कृषि ऋणको व्यवस्था गरिने छ । ,Agriculture ,Agricultural loans at subsidized interest rate,N/A ,N/A ,N/A ,No ,कृषि नै ग्रामीण विकासको मूल आधारः,No ,CPNM 
कृषि पेशालाई प्रोत्साहित गर्न किसान पेन्सनको व्यवस्था गरिनेछ ।,Agriculture ,Farmers pension,N/A ,N/A ,N/A ,No ,कृषि नै ग्रामीण विकासको मूल आधारः,No ,CPNM 
अव्यवस्थित तथा छरिएर रहेको ग्रामीण बस्तीहरुलाई एकीकृत सघन बसोबासको लागि सघन वस्ती विकास कार्यक्रम सञ्चालन गरिने छ ।,Rural infrastructure ,Intensive Settlement Development Program,N/A ,N/A ,N/A ,No ,ग्रामीण पूर्वाधारको विकासः,No ,CPNM 
"प्रत्येक ग्रामीण क्षेत्रहरुमा सफा खानेपानी, शौचालय, सरसफाई, फोहरमैला व्यवस्थापन, स्वास्थ्य सेवा केन्द्र, शिक्षालय, खेलमैदान, यातायात, इन्टरनेटको सेवालगायतका सूचना संचार केन्द्र आदि आधारभूत संरचनाहरुको विकासमा जोड दिइने छ ।",Rural infrastructure ,Basic infrastructure development,Information Communication Center,N/A ,N/A ,No ,ग्रामीण पूर्वाधारको विकासः,No ,CPNM 
ग्रामीण सडक गुरुयोजनाको मापदण्ड बनाएर आर्थिक उत्पादनको गतिविधिसँग जोड्ने गरी ग्रामीण हरित सडक संजालको निर्माण र विस्तार गरिने छ ।,Rural infrastructure ,Rural road master plan,Village green road network,N/A ,N/A ,No ,ग्रामीण पूर्वाधारको विकासः,No ,CPNM 
ग्रामीण क्षेत्रमा पर्यटन र वातावरणीय संरक्षणलाई ध्यानमा राखी पर्यटकीय पैदल मार्ग र केवल कारहरुको व्यवस्था गर्न जोड दिइने छ ।,Rural infrastructure ,Tourist walks,N/A ,N/A ,N/A ,No ,ग्रामीण पूर्वाधारको विकासः,No ,CPNM 
गाउँहरुलाई स्मार्ट नमूना गाउँको रुपमा विकास र विस्तार गर्न जोड दिइने छ ।,Rural infrastructure ,Smart Model Village,N/A ,N/A ,N/A ,No ,ग्रामीण पूर्वाधारको विकासः,No ,CPNM 
ग्रामीण क्षेत्रमा कृषिजन्यसाना तथा घरेलु उद्योगहरुमा जोड दिइने छ ।,Rural infrastructure ,Domestic industry,N/A ,N/A ,N/A ,No ,ग्रामीण पूर्वाधारको विकासः,No ,CPNM 
त्यसप्रकारका उद्योगहरुलाई सहुलियत व्याज दरमा ऋण दिने व्यवस्था गरिने छ ।,Rural infrastructure ,Subsidized interest rate loans,N/A ,N/A ,N/A ,No ,ग्रामीण पूर्वाधारको विकासः,No ,CPNM 
"पूर्वाधार विकासका परियोजनाहरु सञ्चालन गर्दा स्वदेशी पुँजी, स्थानीय स्रोत साधन र श्रममुखी साना तथा सरकारले धान्न सक्ने मझौला प्रकृतिका योजनाहरुमा जोड दिइने छ । ",Rural infrastructure ,N/A ,N/A ,N/A ,N/A ,No ,ग्रामीण पूर्वाधारको विकासः,No ,CPNM 
एक गाउँ एक नमुना उद्योग स्थापना गर्न जोड दिइने छ ।,Rural infrastructure ,One village: one model industry,N/A ,N/A ,N/A ,No ,ग्रामीण पूर्वाधारको विकासः,No ,CPNM 
भूकम्पले क्षति पु¥याएका र पुनर्निमाण हुन बाँकी रहेका क्षेत्रहरुमा पुननिर्माणको कार्यक्रमलाई तीव्रता दिइने छ ।,Earthquake & Reconstruction,N/A ,N/A ,N/A ,N/A ,No ,भूकम्प र पुननिर्माणः,No ,CPNM 
पुननिर्माण गर्दा परम्परागत संस्कृतिको संरक्षण गर्दै आधुनिक प्रकारको सघन ग्रामीण वस्तीहरुको विकासमा जोड दिइने छ ।,Earthquake & Reconstruction,Intensive Settlement Development Program,Traditional culture promotion,N/A ,N/A ,No ,भूकम्प र पुननिर्माणः,No ,CPNM 
"वन संरक्षण, भू–संरक्षण, तटवन्धहरुको निर्माण, वृक्षारोपण, जैविक विविधताको संरक्षण र जडिबुटीको संरक्षण र उत्पादन लगायतका कार्यक्रमहरु सञ्चालन गरी हरियाली नेपाल निर्माणमा जोड दिइने छ । त्यस्तैगरी वन्यजन्तुहरुको व्यवस्थितरुपमा संरक्षण गरिने छ ।",Nature conservation,Medicinal herbs protection,Wild life management,N/A ,N/A ,No ,वन संरक्षण र हरियाली नेपालः,No ,CPNM 
"शहरी क्षेत्रमा शहरी विकासको निम्ति अल्पकालिक र दीर्घकालीन योजनाको तर्जुमा गरिने छ । तत्काल शहरी क्षेत्रमा सर्वसुलभ खाने पानीको व्यवस्था, फोहरमैलाको व्यवस्थापन, वायु प्रदूषणको नियन्त्रण, ट्राफिक व्यवस्थापन, अव्यवस्थित वसोवासको व्यवस्था, सुकुम्वासीहरुको वसोवासको व्यवस्था आदि अविलम्व गरिने छ ।",Urban development,Short-term and long-term planning,N/A ,N/A ,N/A ,No ,शहरी विकासः,No ,CPNM 
"दीर्घकालीन रुपमा शहरी क्षेत्रको भू–उपयोग नीति अवलम्वन गरी औद्योगिक क्षेत्र, व्यापारिक क्षेत्र, प्रशासनिक भवनहरु रहने क्षेत्र, शिक्षालयहरु रहने क्षेत्र, अस्पतालहरु रहने क्षेत्र, वसपार्क, खेलकूदका ग्राउण्ड र मनोरञ्जनका हलहरु रहने क्षेत्र, आवास क्षेत्र, फोहरमैला व्यवस्थापन क्षेत्र आदि शहरको लागि अत्यावश्यक पर्ने मुल क्षेत्रहरुको निर्धारण गर्ने र ती क्षेत्रहरुवीच जोड्ने द्रुतमार्गहरु–सडक, मेट्रो लाइन, खानेपानी आपूर्तिको व्यवस्था, विद्युत आपूर्तिको व्यवस्था, शहरको वीच वीचमा खाली जमिन राख्ने र ती खाली जमिनमा हरियाली पार्कहरु बनाउने आदिको दीर्घकालीन बृहत्तर शहरी विकास गुरुयोजनाको तर्जुमा गरिने छ । त्यही गुरुयोजनाको आधारमा पूर्वाधारहरुको निर्माण र विस्तार, सरकारी भवन र आवासहरुको निर्माण र विस्तार, वजार क्षेत्रको विस्तार आदि गरिने छ ।",Urban development,Infrastructure development ,N/A ,N/A ,N/A ,No ,शहरी विकासः,No ,CPNM 
शहरहरुलाई स्मार्ट नमूना शहरको रुपमा विकास र विस्तार गर्न जोड दिइने छ । नमूना शहरहरुको यातायातलाई विद्युतीकरण गरिने छ ।,Urban development,Model smart city,Urban transport electrification,N/A ,N/A ,No ,शहरी विकासः,No ,CPNM 
शहर वा नगरको विकासको लागि औद्योगिक क्षेत्रमा परिणत गर्ने नीति लिइने छ ।,Urban development,N/A ,N/A ,N/A ,N/A ,No ,"शहरीकरणको नमूना, औद्योगिक शहरको परिकल्पनाः",No ,CPNM 
शहरी क्षेत्रमा राष्ट्रिय औद्योगिक पूंँजीवादको विकासमा जोड दिइने छ ।,Urban development,Development of national industrial capitalist,N/A ,N/A ,N/A ,No ,"शहरीकरणको नमूना, औद्योगिक शहरको परिकल्पनाः",No ,CPNM 
"औद्योगिक विकासको लागि स्वदेशी पुँंजीको लगानी, स्वदेशी कच्चा पदार्थ, स्वदेशी श्रम र सीपलाई प्राथमिकता दिइने छ ।",Urban development,Investment of national capital,Local raw materials,N/A ,N/A ,No ,"शहरीकरणको नमूना, औद्योगिक शहरको परिकल्पनाः",No ,CPNM 
औद्योगिक क्षेत्रलाई पूर्णतः विद्युतीकरण गरिने छ ।,Urban development,Industry electrification,N/A ,N/A ,N/A ,No ,"शहरीकरणको नमूना, औद्योगिक शहरको परिकल्पनाः",No ,CPNM 
स्वदेशी पूँजीको लगानीबाट उत्पादित बस्तुहरुलाई देशभित्र नै बजारको सुनिश्चित गर्न जोड दिइने छ ।,Urban development,N/A ,N/A ,N/A ,N/A ,No ,"शहरीकरणको नमूना, औद्योगिक शहरको परिकल्पनाः",No ,CPNM 
नगरहरु अन्तर्राष्ट्रिय व्यापारसँग पनि सम्बन्धित हुने भएकोले अन्तर्राष्ट्रिय व्यापारमा देशभित्र नै औद्योगिक उत्पादन भएका तयारी वस्तुहरुको निर्यात व्यापारमा जोड दिइने छ ।,Economic development,Export based economy,N/A ,N/A ,N/A ,No ,निर्यातमुखी व्यापारः अन्तर्राष्ट्रिय व्यापारको आधारः,No ,CPNM 
वस्तु र सेवाहरु आयात गर्दा आन्तरिक रुपमा उत्पादन भएका वस्तुहरुको बजारलाई विस्थापन नहुने गरी बाहिरबाट वस्तुहरुको आयत गरिने छ ।,Economic development,Export based economy,N/A ,N/A ,N/A ,No ,निर्यातमुखी व्यापारः अन्तर्राष्ट्रिय व्यापारको आधारः,No ,CPNM 
"आर्थिक विकासको क्षेत्रमा सार्वजनिक क्षेत्रलाई प्राथमिकता र नेतृत्वदायी भूमिका, सहकारी प्रणालीलाई प्रोत्साहन र निजी क्षेत्रलाई सहयोगीको रुपमा लिइने छ ।",Economic development,Encourage co-operative system,Priority to public sector,N/A ,N/A ,No ,आर्थिक विकासको नीतिः,No ,CPNM 
"गैरआवासीय नेपालीहरुको पूँजी, सीप र दक्षतालाई कृषि तथा औद्योगिक विकासको क्षेत्रमा लगानी गर्न प्रोत्साहित गरिने छ ।",Economic development,NRNA investment ,Agricultural and Industrial Development,N/A ,N/A ,No ,आर्थिक विकासको नीतिः,No ,CPNM 
विकास निर्माणमा श्रम प्रधान र जनसहभागितामुलक परियोजनाहरुमा जोड दिइने छ ।,Economic development,Labor-intensive and public participation project,N/A ,N/A ,N/A ,No ,आर्थिक विकासको नीतिः,No ,CPNM 
"बजारमा बढ्दो महंगी, कालोबजार, एकाधिकार बजार, कृत्रिम अभाव आदिलाई नियन्त्रण गरी उपभोक्ता हितको संरक्षणमुखी बजारको व्यवस्था गरिने छ ।",Economic development,Customer centered market management ,Discouraging black market ,Consumer Interest Protection,N/A ,No ,उपभोक्ताहितमुखी बजार व्यवस्थाः,No ,CPNM 
जलविद्युत परियोजनाहरुलाई आन्तरिक उत्पादनमुखी क्षेत्रमा खपतको स्थितिको आधारमा परियोजनाहरुको सञ्चालन गरिनेछ ।,Water resources project,Internal consumption of hydro projects,N/A ,N/A ,N/A ,No ,जलस्रोत परियोजनाः आन्तरिक खपतमुखीः,No ,CPNM 
"परियोजनाहरु निर्माण गर्दा राज्यको लगानी, स्वदेशी पुँजी, जनताको शेयर लगानीको आधारमा निर्माण हुन सक्ने साना तथा मझौला प्रकृतिका परियोजनाहरुमा जोड दिइने छ ।",Water resources project,People stock investment,Stress in medium level projects,N/A ,N/A ,No ,जलस्रोत परियोजनाः आन्तरिक खपतमुखीः,No ,CPNM 
पर्यटन क्षेत्रलाई उद्योगको रुपमा रुपान्तरण गर्ने नीति लिइने छ । पर्यटन उद्योगको विकास र विस्तारको लागि प्रकृति र संस्कृतिका विविध गन्तव्य क्षेत्रहरु पहिल्याउँदै पर्यटन क्षेत्रमा प्रयोग हुने वस्तुहरुको उत्पादन देशभित्रै गर्ने नीति अवलम्बन गरिने छ ।,Tourism,Tourism Industry Development,N/A ,N/A ,N/A ,No ,पर्यटन व्यापारः उद्योगमा रुपान्तरणः,No ,CPNM 
नेपाली समाज बहुभाषी र बहुसांस्कृतिक विविधतायुक्त रहेको छ । परन्तु नेपालमाथि बाह्य सांस्कृतिक अतिक्रमण बढ्दो छ ।,Cultural heritage ,External cultural invasion,Diverse culture ,N/A ,N/A ,No ,सांस्कृतिक सम्पदाहरुको संरक्षणः नेपालको पहिचानः,No ,CPNM 
परम्परागत संस्कृतिको नाममा रुढिवादी संस्कृतिहरु पनि अझै कायम छन् ।,Cultural heritage ,Orthodox culture still in practice,Emphasize in preservation and promotion of historical monuments,N/A ,N/A ,No ,सांस्कृतिक सम्पदाहरुको संरक्षणः नेपालको पहिचानः,No ,CPNM 
रुढिवादी संस्कृति र बाह्य अतिक्रमित संस्कृतिलाई निरुत्साहित गर्दै असली जनसंस्कृति र ऐतिहासिक सम्पदाहरुको संरक्षण र सम्वद्र्धन गर्न जोड दिइने छ ।,Cultural heritage ,Culture protection,N/A ,N/A ,N/A ,No ,सांस्कृतिक सम्पदाहरुको संरक्षणः नेपालको पहिचानः,No ,CPNM 
"जनपक्षीय साहित्य–कला, संगीतको संरक्षण र सम्बद्र्धनमा जोड दिइने छ ।",Cultural heritage ,Emphasize in preservation and promotion of historical monuments,N/A ,N/A ,N/A ,No ,सांस्कृतिक सम्पदाहरुको संरक्षणः नेपालको पहिचानः,No ,CPNM 
प्राकृतिक स्रोत र साधनमाथि स्थानीय जनताको अग्राधिकार कायम गरिने छ ।,Natural resources,N/A ,N/A ,N/A ,N/A ,No ,प्राकृतिक स्रोतमाथि स्थानीय जनताको अग्राधिकारः,No ,CPNM 
"जल स्रोत, वनसम्पदा र खनिज पदार्थ आदिको प्रयोग गर्दा वातावरणीय प्रतिकूलता नहुने गरी गरिने छ ।",Natural resources,Environmental protection ,N/A ,N/A ,N/A ,No ,प्राकृतिक स्रोतमाथि स्थानीय जनताको अग्राधिकारः,No ,CPNM 
"कुनै पनि प्राकृतिक स्रोत र साधनहरु उद्योगको दृष्टिले कच्चा पदार्थ भएकोले त्यसको संकलन, उत्खनन वा प्रशोधन गर्दा औद्योगिक उत्पादनसँग जोड्ने गरी गरिने छ ।",Natural resources,N/A ,N/A ,N/A ,N/A ,No ,प्राकृतिक स्रोतमाथि स्थानीय जनताको अग्राधिकारः,No ,CPNM 
मुलुकमा युवा बेरोजगार समस्या तीव्रतर रुपमा बढ्दै गइरहेको छ र युवाहरु रोजगारको खोजीको क्रममा विदेशिन बाध्य भइरहेका छन् ।,Employment ,Youth unemployment,Foreign employment,N/A ,N/A ,No ,श्रम र रोजगारः,No ,CPNM 
देशभित्र नै रोजगार विस्तारको लागि श्रम र रोजगारमुलक कार्यक्रमहरुको संचालनमा जोड दिइने छ ।,Employment ,Labor and employment oriented program,N/A ,N/A ,N/A ,No ,श्रम र रोजगारः,No ,CPNM 
श्रम बैंकको व्यवस्था गरी त्यसमार्फत् जनशक्ति परिचालन गरिने छ ।,Employment ,Labor bank,N/A ,N/A ,N/A ,No ,श्रम र रोजगारः,No ,CPNM 
प्रत्येक गाउँमा युवा स्वरोजगार र गरिबी निवारण कोष खडा गरी रोजगारको व्यवस्था गरिने छ । ,Employment ,Youth employment and poverty alleviation fund,N/A ,N/A ,N/A ,No ,श्रम र रोजगारः,No ,CPNM 
उत्पादनमुलक रोजगारको व्यवस्था सुनिश्चित नहुँदासम्म वेरोजगार भत्ताको व्यवस्था गरिनेछ ।,Employment ,Production oriented employment system,Unemployment allowance,N/A ,N/A ,No ,श्रम र रोजगारः,No ,CPNM 
"लोकतान्त्रिक प्रणालीमा वालवालिकाहरुलाई अनिवार्य शिक्षा दिनु पर्ने, नागरिकहरुलाई स्वास्थ्य उपचारको सेवा दिनु पर्ने राज्यको दायित्व हो ।",Education & Health,Compulsory education,Compulsory health,N/A ,N/A ,No ,शिक्षा र स्वास्थ्य राज्यको दायित्वः,No ,CPNM 
"राज्यद्वारा नै अनिवार्य, निःशुल्क, गुणस्तरीय, रोजगारमूलक, व्यवहारिक र सर्वसुलभ सार्वजनिक शिक्षा दिने व्यवस्था गरिने छ ।",Education ,Health,Accessible Public Education,N/A ,N/A ,No ,शिक्षा र स्वास्थ्य राज्यको दायित्वः,No ,CPNM 
१२ कक्षासम्म अनिवार्य शिक्षा दिने र आवासीय शिक्षाको व्यवस्था गरिने छ । ,Education ,Health,12 Grade Compulsory Education,Residential education,N/A ,No ,शिक्षा र स्वास्थ्य राज्यको दायित्वः,No ,CPNM 
